"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000224;0,331313;2,48081;11.200;-39,7956;-60
0,000225;0,351515;2,48485;11.250;-24,4111;-60
0,000226;0,339394;2,48485;11.300;-25,008;-60
0,000227;0,339394;2,48081;11.350;-44,3017;-60
0,000228;0,355556;2,48081;11.400;-60;-60
0,000229;0,331313;2,47273;11.450;-58,891;-60
0,00023;0,331313;2,48889;11.500;-59,4475;-60
0,000231;0,335354;2,48081;11.550;-59,1167;-60
0,000232;0,339394;2,48889;11.600;-60;-60
0,000233;0,339394;2,48081;11.650;-60;-60
0,000234;0,331313;2,48081;11.700;-36,8131;-60
0,000235;0,343434;2,48081;11.750;-24,7344;-60
0,000236;0,323232;2,48889;11.800;-28,4934;-60
0,000237;0,343434;2,48081;11.850;-51,9222;-60
0,000238;0,339394;2,47273;11.900;-60;-60
0,000239;0,331313;2,48081;11.950;-60;-60
0,00024;0,343434;2,47273;12.000;-60;-60
0,000241;0,339394;2,48485;12.050;-60;-60
0,000242;0,335354;2,49293;12.100;-60;-60
0,000243;0,339394;2,48485;12.150;-60;-60
0,000244;0,335354;2,46869;12.200;-32,3081;-60
0,000245;0,343434;2,48081;12.250;-24,2114;-60
0,000246;0,347475;2,48081;12.300;-30,6638;-60
0,000247;0,327273;2,48889;12.350;-60;-60
0,000248;0,343434;2,47677;12.400;-60;-60
0,000249;0,339394;2,48889;12.450;-60;-60
0,00025;0,335354;2,48889;12.500;-60;-60
0,000251;0,335354;2,47273;12.550;-60;-60
0,000252;0,347475;2,48081;12.600;-60;-60
0,000253;0,347475;2,48889;12.650;-57,418;-60
0,000254;0,335354;2,47273;12.700;-29,8971;-60
0,000255;0,335354;2,49697;12.750;-24,5974;-60
0,000256;0,339394;2,48485;12.800;-34,6511;-60
0,000257;0,327273;2,48889;12.850;-60;-60
0,000258;0,335354;2,47677;12.900;-60;-60
0,000259;0,331313;2,47677;12.950;-60;-60
0,00026;0,335354;2,48081;13.000;-60;-60
0,000261;0,343434;2,48485;13.050;-60;-60
0,000262;0,331313;2,49697;13.100;-60;-60
0,000263;0,327273;2,48485;13.150;-49,3828;-60
0,000264;0,327273;2,47677;13.200;-28,446;-60
0,000265;0,327273;2,48485;13.250;-26,1386;-60
0,000266;0,343434;2,48081;13.300;-39,8941;-60
0,000267;0,331313;2,48485;13.350;-60;-60
0,000268;0,331313;2,48889;13.400;-60;-60
0,000269;0,343434;2,48889;13.450;-60;-60
0,00027;0,343434;2,47677;13.500;-60;-60
0,000271;0,331313;2,47677;13.550;-60;-60
0,000272;0,339394;2,47273;13.600;-60;-60
0,000273;0,327273;2,47273;13.650;-41,8559;-60
0,000274;0,339394;2,48081;13.700;-26,2126;-60
0,000275;0,347475;2,48889;13.750;-26,6598;-60
0,000276;0,335354;2,49293;13.800;-45,6858;-60
0,000277;0,327273;2,48081;13.850;-60;-60
0,000278;0,339394;2,49293;13.900;-60;-60
0,000279;0,331313;2,49293;13.950;-60;-60
0,00028;0,339394;2,47273;14.000;-60;-60
0,000281;0,331313;2,47273;14.050;-60;-60
0,000282;0,339394;2,47677;14.100;-58,5102;-60
0,000283;0,339394;2,47677;14.150;-38,4795;-60
