"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000391;5,13131;0,40404;19.550;-34,7856;-27,3122
0,000392;5,13131;0,40404;19.600;-25,8769;-18,4179
0,000393;5,13131;0,40404;19.650;-32,052;-24,6007
0,000394;5,13131;0,40404;19.700;-60;-56,7812
0,000395;5,13131;0,40404;19.750;-60;-60
0,000396;5,13131;0,40404;19.800;-60;-60
0,000397;5,13131;0,40404;19.850;-60;-60
0,000398;5,13131;0,40404;19.900;-60;-60
0,000399;5,13131;0,40404;19.950;-60;-60
0,0004;5,13131;0,40404;20.000;-60;-60
0,000401;5,13131;0,40404;20.050;-41,6596;-34,1904
0,000402;5,13131;0,40404;20.100;-35,7974;-28,1977
0,000403;5,13131;0,40404;20.150;-45,4768;-37,825
0,000404;5,13131;0,40404;20.200;-60;-60
0,000405;5,13131;0,40404;20.250;-60;-60
0,000406;5,13131;0,40404;20.300;-60;-60
0,000407;5,13131;0,40404;20.350;-60;-60
0,000408;5,13131;0,40404;20.400;-60;-60
0,000409;5,13131;0,40404;20.450;-60;-60
0,00041;5,13131;0,40404;20.500;-52,6748;-44,462
0,000411;5,13131;0,40404;20.550;-29,5003;-21,9532
0,000412;5,13131;0,40404;20.600;-26,804;-19,3228
0,000413;5,13131;0,40404;20.650;-39,751;-32,2697
0,000414;5,13131;0,40404;20.700;-60;-60
0,000415;5,13131;0,40404;20.750;-60;-60
0,000416;5,13131;0,40404;20.800;-60;-60
0,000417;5,13131;0,40404;20.850;-60;-60
0,000418;5,13131;0,40404;20.900;-60;-60
0,000419;5,13131;0,40404;20.950;-60;-60
0,00042;5,13131;0,40404;21.000;-55,1385;-46,4435
0,000421;5,13131;0,40404;21.050;-40,0739;-32,1987
0,000422;5,13131;0,40404;21.100;-39,6466;-31,9441
0,000423;5,13131;0,40404;21.150;-60;-51,9933
0,000424;5,13131;0,40404;21.200;-60;-58,4183
0,000425;5,13131;0,40404;21.250;-60;-60
0,000426;5,13131;0,40404;21.300;-60;-57,6372
0,000427;5,13131;0,40404;21.350;-60;-56,8749
0,000428;5,13131;0,40404;21.400;-60;-60
0,000429;5,13131;0,40404;21.450;-60;-60
0,00043;5,13131;0,40404;21.500;-39,699;-32,2525
0,000431;5,13131;0,40404;21.550;-26,9547;-19,4799
0,000432;5,13131;0,40404;21.600;-30,0036;-22,5165
0,000433;5,13131;0,40404;21.650;-52,8142;-45,3061
0,000434;5,13131;0,40404;21.700;-60;-60
0,000435;5,13131;0,40404;21.750;-60;-60
0,000436;5,13131;0,40404;21.800;-60;-60
0,000437;5,13131;0,40404;21.850;-60;-60
0,000438;5,13131;0,40404;21.900;-60;-60
0,000439;5,13131;0,40404;21.950;-60;-60
0,00044;5,13131;0,40404;22.000;-49,7113;-41,6092
0,000441;5,13131;0,40404;22.050;-41,0272;-33,1113
0,000442;5,13131;0,40404;22.100;-46,8217;-38,7277
0,000443;5,13131;0,40404;22.150;-60;-60
0,000444;5,13131;0,40404;22.200;-60;-60
0,000445;5,13131;0,40404;22.250;-60;-60
0,000446;5,13131;0,40404;22.300;-60;-60
0,000447;5,13131;0,40404;22.350;-60;-60
0,000448;5,13131;0,40404;22.400;-60;-60
0,000449;5,13131;0,40404;22.450;-60;-58,7375
0,00045;5,13131;0,40404;22.500;-32,5901;-25,1368
0,000451;5,13131;0,40404;22.550;-26,7322;-19,2628
0,000452;5,13131;0,40404;22.600;-35,9187;-28,5093
0,000453;5,13131;0,40404;22.650;-60;-60
0,000454;5,13131;0,40404;22.700;-60;-60
0,000455;5,13131;0,444444;22.750;-60;-60
0,000456;5,13131;0,40404;22.800;-60;-60
0,000457;5,13131;0,40404;22.850;-60;-60
0,000458;5,13131;0,40404;22.900;-60;-60
0,000459;5,13131;0,40404;22.950;-60;-59,7613
0,00046;5,13131;0,40404;23.000;-48,734;-40,6844
0,000461;5,13131;0,40404;23.050;-44,9017;-36,7501
0,000462;5,13131;0,40404;23.100;-60;-51,8639
0,000463;5,13131;0,40404;23.150;-60;-60
0,000464;5,13131;0,40404;23.200;-60;-60
0,000465;5,13131;0,40404;23.250;-60;-60
0,000466;5,13131;0,40404;23.300;-60;-59,3734
0,000467;5,13131;0,40404;23.350;-60;-60
0,000468;5,13131;0,40404;23.400;-60;-60
0,000469;5,13131;0,40404;23.450;-46,1514;-38,3668
0,00047;5,13131;0,40404;23.500;-28,732;-21,2388
0,000471;5,13131;0,40404;23.550;-28,7336;-21,2786
0,000472;5,13131;0,40404;23.600;-45,7632;-38,4318
0,000473;5,13131;0,40404;23.650;-60;-60
0,000474;5,13131;0,40404;23.700;-60;-60
0,000475;5,13131;0,40404;23.750;-60;-60
0,000476;5,13131;0,40404;23.800;-60;-60
0,000477;5,13131;0,40404;23.850;-60;-60
0,000478;5,13131;0,40404;23.900;-60;-60
0,000479;5,13131;0,40404;23.950;-60;-51,8742
0,00048;5,13131;0,40404;24.000;-52,162;-43,1785
0,000481;5,13131;0,40404;24.050;-53,239;-44,7845
0,000482;5,13131;0,40404;24.100;-60;-60
0,000483;5,13131;0,40404;24.150;-60;-60
