"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000394;5,13131;5,21212;19.700;-60;-60
0,000395;5,13131;5,23232;19.750;-60;-60
0,000396;5,13131;5,25253;19.800;-60;-60
0,000397;5,13131;5,23232;19.850;-60;-60
0,000398;5,12727;5,25253;19.900;-60;-60
0,000399;5,13131;5,23232;19.950;-60;-60
0,0004;5,13131;5,23232;20.000;-60;-60
0,000401;5,13131;5,23232;20.050;-41,6476;-60
0,000402;5,12727;5,25253;20.100;-36,1809;-60
0,000403;5,13131;5,23232;20.150;-45,296;-60
0,000404;5,13131;5,25253;20.200;-60;-60
0,000405;5,13131;5,25253;20.250;-60;-60
0,000406;5,13131;5,27273;20.300;-60;-60
0,000407;5,13131;5,25253;20.350;-60;-60
0,000408;5,12727;5,25253;20.400;-60;-60
0,000409;5,12727;5,25253;20.450;-60;-60
0,00041;5,12727;5,25253;20.500;-51,6363;-60
0,000411;5,13131;5,25253;20.550;-29,5637;-60
0,000412;5,13131;5,25253;20.600;-26,8097;-60
0,000413;5,13131;5,25253;20.650;-39,9593;-60
0,000414;5,13131;5,23232;20.700;-60;-60
0,000415;5,13131;5,25253;20.750;-60;-60
0,000416;5,13131;5,25253;20.800;-60;-60
0,000417;5,13131;5,21212;20.850;-60;-60
0,000418;5,13131;5,25253;20.900;-60;-60
0,000419;5,13131;5,25253;20.950;-60;-60
0,00042;5,13131;5,23232;21.000;-59,4841;-60
0,000421;5,13131;5,25253;21.050;-39,7311;-60
0,000422;5,13131;5,23232;21.100;-40,5036;-60
0,000423;5,13131;5,23232;21.150;-55,4796;-60
0,000424;5,13131;5,25253;21.200;-60;-60
0,000425;5,12727;5,21212;21.250;-60;-60
0,000426;5,13131;5,21212;21.300;-60;-60
0,000427;5,13131;5,25253;21.350;-60;-60
0,000428;5,13131;5,25253;21.400;-60;-60
0,000429;5,13131;5,25253;21.450;-60;-60
0,00043;5,13131;5,25253;21.500;-39,5575;-60
0,000431;5,13131;5,25253;21.550;-27,0101;-60
0,000432;5,13131;5,23232;21.600;-30,0246;-60
0,000433;5,13131;5,25253;21.650;-53,5154;-60
0,000434;5,13131;5,25253;21.700;-60;-60
0,000435;5,13131;5,23232;21.750;-60;-60
0,000436;5,13131;5,25253;21.800;-60;-60
0,000437;5,13131;5,23232;21.850;-60;-60
0,000438;5,13131;5,25253;21.900;-60;-60
0,000439;5,13131;5,27273;21.950;-60;-60
0,00044;5,13131;5,25253;22.000;-50,7052;-60
0,000441;5,13131;5,25253;22.050;-41,1794;-60
0,000442;5,13131;5,25253;22.100;-47,467;-60
0,000443;5,12727;5,21212;22.150;-60;-60
0,000444;5,13131;5,25253;22.200;-60;-60
0,000445;5,13131;5,25253;22.250;-60;-60
0,000446;5,13131;5,25253;22.300;-60;-60
0,000447;5,13131;5,25253;22.350;-60;-60
0,000448;5,13131;5,25253;22.400;-60;-60
0,000449;5,12727;5,25253;22.450;-60;-60
0,00045;5,13131;5,25253;22.500;-32,6164;-60
0,000451;5,13131;5,23232;22.550;-26,7642;-60
0,000452;5,13131;5,25253;22.600;-36,0084;-60
0,000453;5,13131;5,23232;22.650;-60;-60
0,000454;5,12727;5,25253;22.700;-60;-60
0,000455;5,13131;5,25253;22.750;-60;-60
0,000456;5,13131;5,23232;22.800;-60;-60
0,000457;5,13131;5,25253;22.850;-60;-60
0,000458;5,13131;5,25253;22.900;-60;-60
0,000459;5,13131;5,25253;22.950;-60;-60
0,00046;5,13131;5,25253;23.000;-48,0557;-60
0,000461;5,13131;5,23232;23.050;-46,2371;-60
0,000462;5,13131;5,23232;23.100;-56,6977;-60
0,000463;5,13131;5,25253;23.150;-60;-60
0,000464;5,12727;5,25253;23.200;-60;-60
0,000465;5,12727;5,25253;23.250;-60;-60
0,000466;5,13131;5,25253;23.300;-60;-60
0,000467;5,13131;5,25253;23.350;-60;-60
0,000468;5,13131;5,25253;23.400;-60;-60
0,000469;5,13131;5,25253;23.450;-45,7672;-60
0,00047;5,12727;5,23232;23.500;-28,7708;-60
0,000471;5,13131;5,25253;23.550;-28,773;-60
0,000472;5,12323;5,25253;23.600;-46,0327;-60
0,000473;5,12727;5,25253;23.650;-60;-60
