"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000337;5,13131;0,444444;16.850;-60;-46,7486
0,000338;5,13131;0,525253;16.900;-60;-58,7949
0,000339;5,13131;0,525253;16.950;-60;-53,5432
0,00034;5,13131;0,525253;17.000;-60;-49,705
0,000341;5,13131;0,525253;17.050;-60;-55,0618
0,000342;5,13131;0,484848;17.100;-39,1929;-42,1103
0,000343;5,13131;0,565657;17.150;-30,5965;-33,4777
0,000344;5,13131;0,40404;17.200;-36,8777;-40,08
0,000345;5,13131;0,606061;17.250;-60;-60
0,000346;5,13131;0,484848;17.300;-60;-55,4354
0,000347;5,13131;0,606061;17.350;-60;-59,3125
0,000348;5,13131;0,484848;17.400;-60;-60
0,000349;5,13131;0,565657;17.450;-60;-51,8133
0,00035;5,13131;0,525253;17.500;-60;-50,9156
0,000351;5,13131;0,525253;17.550;-60;-49,8942
0,000352;5,13131;0,525253;17.600;-31,0232;-21,7644
0,000353;5,13131;0,525253;17.650;-25,5236;-16,2815
0,000354;5,13131;0,484848;17.700;-35,0537;-26,0324
0,000355;5,13131;0,525253;17.750;-60;-54,822
0,000356;5,13131;0,565657;17.800;-60;-46,7805
0,000357;5,13131;0,484848;17.850;-60;-50,9914
0,000358;5,13131;0,525253;17.900;-60;-57,8655
0,000359;5,13131;0,484848;17.950;-60;-51,0673
0,00036;5,13131;0,484848;18.000;-60;-50,8339
0,000361;5,13131;0,525253;18.050;-56,232;-60
0,000362;5,13131;0,484848;18.100;-35,5234;-33,0545
0,000363;5,13131;0,444444;18.150;-32,6567;-31,0263
0,000364;5,13131;0,525253;18.200;-46,6749;-45,0585
0,000365;5,13131;0,525253;18.250;-60;-49,1842
0,000366;5,13131;0,525253;18.300;-60;-52,199
0,000367;5,13131;0,565657;18.350;-60;-54,272
0,000368;5,13131;0,565657;18.400;-60;-54,3036
0,000369;5,13131;0,525253;18.450;-60;-53,7744
0,00037;5,13131;0,525253;18.500;-60;-59,1687
0,000371;5,13131;0,606061;18.550;-44,0454;-33,9576
0,000372;5,13131;0,565657;18.600;-27,2185;-17,9104
0,000373;5,13131;0,525253;18.650;-27,5929;-18,1923
0,000374;5,13131;0,484848;18.700;-44,9796;-35,7293
0,000375;5,13131;0,484848;18.750;-60;-50,9474
0,000376;5,13131;0,444444;18.800;-60;-48,0022
0,000377;5,13131;0,484848;18.850;-60;-53,9046
